field_id,date,pest_type,severity_0_to_1,temp_avg,humidity_avg,rainfall_mm,ndvi,days_since_last_spray,outbreak
F001,2026-03-06 10:52:31.302188,whitefly,0.8491392100295219,16.024989711436533,70.34827280345866,63.83461589004541,0.5895917812951424,11,1
F002,2025-09-13 10:52:31.302301,aphid,0.19021675021905715,21.119584274693892,81.63465338023634,78.69004467094602,0.19943827348011506,18,1
F003,2025-09-09 10:52:31.302344,thrip,0.4526500951388668,31.7055582566,67.01955223797829,66.50497399252349,0.4965157373030235,10,0
F004,2026-01-07 10:52:31.302408,whitefly,0.888323126133161,26.607833875210886,117.52962889157746,70.41920189830023,0.5096699530298773,18,0
F005,2026-02-08 10:52:31.302471,aphid,0.8162218608377123,26.132920394268993,76.62130988466365,52.03185459443881,0.6316110588900266,20,0
F006,2025-09-29 10:52:31.302535,whitefly,0.406231497601243,11.428987982546092,70.93950850813079,24.872293994730043,0.4481182318452489,24,0
F007,2026-01-29 10:52:31.302595,aphid,0.6318859942544972,32.07835170599194,42.17171994018711,38.585774087940045,0.6616063547935103,6,0
F008,2026-03-12 10:52:31.302630,spider_mite,0.25174122703402424,15.670811933247005,58.40658389849779,51.15956068370948,0.7143522074398959,26,1
F009,2025-08-18 10:52:31.302662,spider_mite,0.4621784933809948,24.678621879078822,85.13267083706113,-13.73482315929541,0.27664522967069194,12,0
F010,2026-03-15 10:52:31.302742,aphid,0.029465801542354342,22.737566305156307,84.354974114123,47.00590533788771,0.5183712685320259,4,0
F011,2025-08-06 10:52:31.302804,aphid,0.4798497407389577,19.18914733386383,65.36507422797358,35.76093322602716,0.20953019901818554,29,1
F012,2025-12-17 10:52:31.302864,thrip,0.4839938779361207,25.614830074011753,46.857904450734786,84.67004596136877,0.5073371212304596,4,1
F013,2025-07-28 10:52:31.302896,thrip,0.008133134087878413,25.76223447805277,48.94440273112303,78.17441592559231,0.5421568029539089,2,1
F014,2025-05-07 10:52:31.302928,thrip,0.4146522133164938,23.777874054434623,66.76643804637409,64.29557954958615,0.5558722108307683,7,0
F015,2025-08-02 10:52:31.302999,whitefly,0.6456944404000795,26.407462225605652,48.10798160799605,11.848505168508773,0.5521434687199246,14,1
