date,commodity,region,price
2023-01-01,Sesame,Region_C,115.19405631742055
2023-01-02,Sesame,Region_C,85.04496752494465
2023-01-03,Sesame,Region_C,96.96596134877323
2023-01-04,Sesame,Region_C,109.14223195071145
2023-01-05,Sesame,Region_C,77.52855764629027
2023-01-06,Sesame,Region_C,106.77062233442547
2023-01-07,Sesame,Region_C,98.45049045009517
2023-01-08,Sesame,Region_C,113.40256694266604
2023-01-09,Sesame,Region_C,84.59177312953125
2023-01-10,Sesame,Region_C,86.32451901019549
2023-01-11,Sesame,Region_C,95.80399544916189
2023-01-12,Sesame,Region_C,98.21403772752306
2023-01-13,Sesame,Region_C,108.76794234207101
2023-01-14,Sesame,Region_C,107.25352746545377
2023-01-15,Sesame,Region_C,92.70849459575533
2023-01-16,Sesame,Region_C,101.03583852613805
2023-01-17,Sesame,Region_C,108.35241983279425
2023-01-18,Sesame,Region_C,98.52742738530112
2023-01-19,Sesame,Region_C,121.69970921949222
2023-01-20,Sesame,Region_C,114.32702634973334
2023-01-21,Sesame,Region_C,121.70994344221508
2023-01-22,Sesame,Region_C,127.29762117806376
2023-01-23,Sesame,Region_C,112.31060886625487
2023-01-24,Sesame,Region_C,96.36476131554231
2023-01-25,Sesame,Region_C,105.40796929436193
2023-01-26,Sesame,Region_C,117.19994063664242
2023-01-27,Sesame,Region_C,130.5482965455792
2023-01-28,Sesame,Region_C,117.65755935997726
2023-01-29,Sesame,Region_C,113.58832175355732
2023-01-30,Sesame,Region_C,115.21507354409408
2023-01-31,Sesame,Region_C,115.7787948439849
2023-02-01,Sesame,Region_C,113.6631267370942
2023-02-02,Sesame,Region_C,95.33095228484652
2023-02-03,Sesame,Region_C,105.52437062174047
2023-02-04,Sesame,Region_C,107.84290295963697
2023-02-05,Sesame,Region_C,110.68201618267858
2023-02-06,Sesame,Region_C,116.77753486681968
2023-02-07,Sesame,Region_C,117.88928677238034
2023-02-08,Sesame,Region_C,122.7014661510532
2023-02-09,Sesame,Region_C,113.00328945154493
2023-02-10,Sesame,Region_C,104.3687259458417
2023-02-11,Sesame,Region_C,116.09768226546265
2023-02-12,Sesame,Region_C,130.60928381469927
2023-02-13,Sesame,Region_C,128.46920384126562
2023-02-14,Sesame,Region_C,114.37380348167657
2023-02-15,Sesame,Region_C,123.79836417130869
2023-02-16,Sesame,Region_C,120.84050480747423
2023-02-17,Sesame,Region_C,109.29022420398256
2023-02-18,Sesame,Region_C,115.78421888428723
2023-02-19,Sesame,Region_C,122.59540858266108
2023-02-20,Sesame,Region_C,115.34559880213139
2023-02-21,Sesame,Region_C,114.55135020145242
2023-02-22,Sesame,Region_C,116.0731034330144
2023-02-23,Sesame,Region_C,128.79230604986714
2023-02-24,Sesame,Region_C,123.30548169802526
2023-02-25,Sesame,Region_C,125.30767636068516
2023-02-26,Sesame,Region_C,131.21511751389346
2023-02-27,Sesame,Region_C,111.76926781781647
2023-02-28,Sesame,Region_C,120.81880707265259
2023-03-01,Sesame,Region_C,111.57793283633825
2023-03-02,Sesame,Region_C,134.80485172412105
2023-03-03,Sesame,Region_C,118.1648714498154
2023-03-04,Sesame,Region_C,124.5534875624641
2023-03-05,Sesame,Region_C,118.93863799434955
2023-03-06,Sesame,Region_C,126.92282449187975
2023-03-07,Sesame,Region_C,129.85978661529106
2023-03-08,Sesame,Region_C,124.0223358076983
2023-03-09,Sesame,Region_C,135.26950962446725
2023-03-10,Sesame,Region_C,116.45810773325947
2023-03-11,Sesame,Region_C,135.85344353612967
2023-03-12,Sesame,Region_C,117.34470192563289
2023-03-13,Sesame,Region_C,122.1271026395018
2023-03-14,Sesame,Region_C,121.29218745490478
2023-03-15,Sesame,Region_C,117.27771621218199
2023-03-16,Sesame,Region_C,105.67968628346053
2023-03-17,Sesame,Region_C,135.40115875970434
2023-03-18,Sesame,Region_C,123.70503997882048
2023-03-19,Sesame,Region_C,116.66104921031267
2023-03-20,Sesame,Region_C,118.37740721926852
2023-03-21,Sesame,Region_C,135.9596954422965
2023-03-22,Sesame,Region_C,112.20681676151018
2023-03-23,Sesame,Region_C,121.22435163102217
2023-03-24,Sesame,Region_C,111.83012314718879
2023-03-25,Sesame,Region_C,130.5456556852101
2023-03-26,Sesame,Region_C,136.72812567456214
2023-03-27,Sesame,Region_C,113.16232203418518
2023-03-28,Sesame,Region_C,115.718223882359
2023-03-29,Sesame,Region_C,130.4349122015541
2023-03-30,Sesame,Region_C,121.10336931579077
2023-03-31,Sesame,Region_C,129.548399848739
2023-04-01,Sesame,Region_C,106.95352471220087
2023-04-02,Sesame,Region_C,121.3932605655194
2023-04-03,Sesame,Region_C,128.7692746067304
2023-04-04,Sesame,Region_C,125.59160772508822
2023-04-05,Sesame,Region_C,130.05483994040208
2023-04-06,Sesame,Region_C,122.47940431710738
2023-04-07,Sesame,Region_C,120.20160380505966
2023-04-08,Sesame,Region_C,140.32490593550966
2023-04-09,Sesame,Region_C,116.1177984099173
2023-04-10,Sesame,Region_C,120.35210050278745
2023-04-11,Sesame,Region_C,130.93129308426302
2023-04-12,Sesame,Region_C,126.81671724812855
2023-04-13,Sesame,Region_C,133.40976960266863
2023-04-14,Sesame,Region_C,119.60732016394105
2023-04-15,Sesame,Region_C,135.12202329928468
2023-04-16,Sesame,Region_C,124.46302177132799
2023-04-17,Sesame,Region_C,125.77709456340487
2023-04-18,Sesame,Region_C,126.08300771999555
2023-04-19,Sesame,Region_C,119.18239431813805
2023-04-20,Sesame,Region_C,138.6216832624105
2023-04-21,Sesame,Region_C,125.92163135242568
2023-04-22,Sesame,Region_C,134.38848001686617
2023-04-23,Sesame,Region_C,122.86816920503964
2023-04-24,Sesame,Region_C,118.66306335569026
2023-04-25,Sesame,Region_C,109.11861914992505
2023-04-26,Sesame,Region_C,117.00058897062834
2023-04-27,Sesame,Region_C,125.62468239557518
2023-04-28,Sesame,Region_C,125.6266246402401
2023-04-29,Sesame,Region_C,120.42575194723122
2023-04-30,Sesame,Region_C,133.99673734961493
2023-05-01,Sesame,Region_C,138.49513036214648
2023-05-02,Sesame,Region_C,138.5601030337443
2023-05-03,Sesame,Region_C,122.82306832662348
2023-05-04,Sesame,Region_C,131.6939055451357
2023-05-05,Sesame,Region_C,125.8038270978034
2023-05-06,Sesame,Region_C,120.48906694576101
2023-05-07,Sesame,Region_C,108.93894371197425
2023-05-08,Sesame,Region_C,127.06625813154587
2023-05-09,Sesame,Region_C,136.53136441892852
2023-05-10,Sesame,Region_C,135.41675428224613
2023-05-11,Sesame,Region_C,111.07364044787045
2023-05-12,Sesame,Region_C,114.03523252474142
2023-05-13,Sesame,Region_C,125.45711083910402
2023-05-14,Sesame,Region_C,111.53327778913783
2023-05-15,Sesame,Region_C,132.47416665321575
2023-05-16,Sesame,Region_C,109.82049622844143
2023-05-17,Sesame,Region_C,129.88684236109037
2023-05-18,Sesame,Region_C,118.45970978444882
2023-05-19,Sesame,Region_C,109.69807705659888
2023-05-20,Sesame,Region_C,118.8485571439376
2023-05-21,Sesame,Region_C,111.86604136624888
2023-05-22,Sesame,Region_C,131.693017326007
2023-05-23,Sesame,Region_C,126.15171100134462
2023-05-24,Sesame,Region_C,128.95972491913855
2023-05-25,Sesame,Region_C,118.95270418917069
2023-05-26,Sesame,Region_C,136.36657317021962
2023-05-27,Sesame,Region_C,121.39787036411188
2023-05-28,Sesame,Region_C,124.95842776416502
2023-05-29,Sesame,Region_C,147.59924614503242
2023-05-30,Sesame,Region_C,136.5766481242076
2023-05-31,Sesame,Region_C,123.0450544700191
2023-06-01,Sesame,Region_C,119.75958597516029
2023-06-02,Sesame,Region_C,123.88220036772131
2023-06-03,Sesame,Region_C,120.21566903988438
2023-06-04,Sesame,Region_C,119.93860217654965
2023-06-05,Sesame,Region_C,122.37983180623
2023-06-06,Sesame,Region_C,122.85971948563298
2023-06-07,Sesame,Region_C,126.84202580818686
2023-06-08,Sesame,Region_C,104.69022826602378
2023-06-09,Sesame,Region_C,101.14462966394993
2023-06-10,Sesame,Region_C,110.57883056000212
2023-06-11,Sesame,Region_C,100.82138013543877
2023-06-12,Sesame,Region_C,150.26489868710172
2023-06-13,Sesame,Region_C,125.75067237549236
2023-06-14,Sesame,Region_C,126.98085647068618
2023-06-15,Sesame,Region_C,107.15095283343175
2023-06-16,Sesame,Region_C,97.07772885675833
2023-06-17,Sesame,Region_C,139.32129109720051
2023-06-18,Sesame,Region_C,110.47011004815906
2023-06-19,Sesame,Region_C,114.44789015433021
2023-06-20,Sesame,Region_C,120.6774933772418
2023-06-21,Sesame,Region_C,116.0058473562531
2023-06-22,Sesame,Region_C,101.58264782530085
2023-06-23,Sesame,Region_C,104.21918451339239
2023-06-24,Sesame,Region_C,124.51000200193974
2023-06-25,Sesame,Region_C,106.28162819562571
2023-06-26,Sesame,Region_C,110.36733473546484
2023-06-27,Sesame,Region_C,136.2255811067691
2023-06-28,Sesame,Region_C,114.41049646892286
2023-06-29,Sesame,Region_C,121.34638123299959
2023-06-30,Sesame,Region_C,112.42788793324664
2023-07-01,Sesame,Region_C,108.0281183851614
2023-07-02,Sesame,Region_C,101.08947198450518
2023-07-03,Sesame,Region_C,126.73831200950934
2023-07-04,Sesame,Region_C,127.40612993011113
2023-07-05,Sesame,Region_C,99.20939073404486
2023-07-06,Sesame,Region_C,122.25375178235242
2023-07-07,Sesame,Region_C,108.67071653327972
2023-07-08,Sesame,Region_C,99.78438758439924
2023-07-09,Sesame,Region_C,105.55264596430948
2023-07-10,Sesame,Region_C,104.72552766504216
2023-07-11,Sesame,Region_C,113.87597414310137
2023-07-12,Sesame,Region_C,110.18270050344125
2023-07-13,Sesame,Region_C,124.33327103049601
2023-07-14,Sesame,Region_C,114.43852551368175
2023-07-15,Sesame,Region_C,116.16093666127304
2023-07-16,Sesame,Region_C,103.88576485958781
2023-07-17,Sesame,Region_C,108.09566073491423
2023-07-18,Sesame,Region_C,110.13712555931104
2023-07-19,Sesame,Region_C,134.07705561869037
2023-07-20,Sesame,Region_C,100.2808293496933
2023-07-21,Sesame,Region_C,109.60621860332118
2023-07-22,Sesame,Region_C,130.28682368468804
2023-07-23,Sesame,Region_C,113.7615509763371
2023-07-24,Sesame,Region_C,108.12368001360736
2023-07-25,Sesame,Region_C,102.74840889144966
2023-07-26,Sesame,Region_C,98.48544682396903
2023-07-27,Sesame,Region_C,103.07776799199846
2023-07-28,Sesame,Region_C,82.93926151531082
2023-07-29,Sesame,Region_C,99.9148891597394
2023-07-30,Sesame,Region_C,110.14939283917131
2023-07-31,Sesame,Region_C,100.88319530242975
2023-08-01,Sesame,Region_C,103.8125684930518
2023-08-02,Sesame,Region_C,98.55625525606663
2023-08-03,Sesame,Region_C,107.77041185695464
2023-08-04,Sesame,Region_C,99.87689654899899
2023-08-05,Sesame,Region_C,106.94790669419456
2023-08-06,Sesame,Region_C,105.89104040624949
2023-08-07,Sesame,Region_C,122.8401528063581
2023-08-08,Sesame,Region_C,102.83493291562039
2023-08-09,Sesame,Region_C,99.62962125182244
2023-08-10,Sesame,Region_C,109.10215457361913
2023-08-11,Sesame,Region_C,97.05479726828557
2023-08-12,Sesame,Region_C,98.49812886644462
2023-08-13,Sesame,Region_C,91.28714250540439
2023-08-14,Sesame,Region_C,102.32325131768837
2023-08-15,Sesame,Region_C,107.81547512689158
2023-08-16,Sesame,Region_C,84.69887655359793
2023-08-17,Sesame,Region_C,103.18283615910849
2023-08-18,Sesame,Region_C,90.24089565312714
2023-08-19,Sesame,Region_C,100.73165329831407
2023-08-20,Sesame,Region_C,85.64894497312686
2023-08-21,Sesame,Region_C,102.162479025676
2023-08-22,Sesame,Region_C,111.93082322464309
2023-08-23,Sesame,Region_C,93.8177175078974
2023-08-24,Sesame,Region_C,111.56399333046292
2023-08-25,Sesame,Region_C,94.08110759703817
2023-08-26,Sesame,Region_C,88.0422595422091
2023-08-27,Sesame,Region_C,91.98645332994018
2023-08-28,Sesame,Region_C,105.27652307459252
2023-08-29,Sesame,Region_C,102.51278018992248
2023-08-30,Sesame,Region_C,105.83270245695057
2023-08-31,Sesame,Region_C,104.13161126167086
2023-09-01,Sesame,Region_C,117.65984196219739
2023-09-02,Sesame,Region_C,107.68747932002039
2023-09-03,Sesame,Region_C,87.41090934926368
2023-09-04,Sesame,Region_C,103.73255317850334
2023-09-05,Sesame,Region_C,84.1299851799193
2023-09-06,Sesame,Region_C,98.96721684659681
2023-09-07,Sesame,Region_C,106.08332395983038
2023-09-08,Sesame,Region_C,88.3947264817422
2023-09-09,Sesame,Region_C,80.73742221638967
2023-09-10,Sesame,Region_C,114.09635029621376
2023-09-11,Sesame,Region_C,117.07449919404971
2023-09-12,Sesame,Region_C,74.62585703612139
2023-09-13,Sesame,Region_C,82.7235068378187
2023-09-14,Sesame,Region_C,122.18070512606644
2023-09-15,Sesame,Region_C,117.19904106643483
2023-09-16,Sesame,Region_C,95.22226471090144
2023-09-17,Sesame,Region_C,115.84527644734348
2023-09-18,Sesame,Region_C,112.24503399108337
2023-09-19,Sesame,Region_C,108.23830330067427
2023-09-20,Sesame,Region_C,98.35009470928833
2023-09-21,Sesame,Region_C,109.35858542362477
2023-09-22,Sesame,Region_C,104.39827624522883
2023-09-23,Sesame,Region_C,105.83561807905917
2023-09-24,Sesame,Region_C,116.11383296393085
2023-09-25,Sesame,Region_C,88.99201872662805
2023-09-26,Sesame,Region_C,98.68558494997802
2023-09-27,Sesame,Region_C,91.29202170614803
2023-09-28,Sesame,Region_C,91.42031639864732
2023-09-29,Sesame,Region_C,76.16562965750563
2023-09-30,Sesame,Region_C,106.43760359988241
2023-10-01,Sesame,Region_C,102.67395926759797
2023-10-02,Sesame,Region_C,89.73962305012265
2023-10-03,Sesame,Region_C,94.34732850525293
2023-10-04,Sesame,Region_C,109.82782017346715
2023-10-05,Sesame,Region_C,108.1407777925313
2023-10-06,Sesame,Region_C,107.95634834959515
2023-10-07,Sesame,Region_C,98.8146990685571
